Theophanes the Greek;699;673;26;96%
Andrei Rublev;684;659;25;96%
Albrecht Dürer;728;691;37;95%
Jackson Pollock;670;639;31;95%
Amedeo Modigliani;628;591;37;94%
Andy Warhol;718;667;51;93%
Marc Chagall;689;642;47;93%
Fyodor Rokotov;680;632;48;93%
Nicholas Roerich;653;605;48;93%
Frida Kahlo;689;637;52;92%
Ivan Shishkin;680;628;52;92%
Michelangelo;661;608;53;92%
El Greco;640;590;50;92%
Georges Seurat;638;586;52;92%
Ivan Aivazovsky;694;633;61;91%
Leonardo da Vinci;656;599;57;91%
Vasiliy Kandinskiy;650;589;61;91%
Pieter Bruegel;704;632;72;90%
Claude Monet;675;606;69;90%
Raphael;662;594;68;90%
Diego Rivera;659;591;68;90%
Hieronymus Bosch;645;582;63;90%
Sergei Vinogradov;695;616;79;89%
Henri Rousseau;689;613;76;89%
Salvador Dali;673;596;77;89%
Alfred Sisley;663;590;73;89%
Kazimir Malevich;661;587;74;89%
Rene Magritte;659;585;74;89%
Henri Matisse;634;567;67;89%
Pierre-Auguste Renoir;694;610;84;88%
Giotto di Bondone;678;596;82;88%
Paul Signac;672;588;84;88%
Joan Miro;672;593;79;88%
Henri de Toulouse-Lautrec;661;583;78;88%
Caravaggio;631;553;78;88%
Camille Pissarro;695;606;89;87%
Ilya Repin;682;592;90;87%
Dmitry Levitzky;668;579;89;87%
Rembrandt;655;572;83;87%
Isaac Levitan;652;567;85;87%
Vladimir Borovikovsky;625;542;83;87%
Paul Klee;771;662;109;86%
Rockwell Kent;730;629;101;86%
Edvard Munch;693;596;97;86%
Egon Schiele;680;585;95;86%
Edgar Degas;662;572;90;86%
Martiros Saryan;660;567;93;86%
Vasily Surikov;654;564;90;86%
Sandro Botticelli;625;536;89;86%
Paul Gauguin;743;630;113;85%
Arkhip Kuinji;743;635;108;85%
Viktor Vasnetsov;676;574;102;85%
Francisco Goya;672;569;103;85%
Valentin Serov;716;605;111;84%
Gustav Klimt;712;596;116;84%
Fra Angelico;694;585;109;84%
Konstantin Yuon;692;579;113;84%
Alphonse Mucha;687;579;108;84%
Antonello da Messina;665;561;104;84%
Zinaida Serebriakova;658;554;104;84%
William Turner;651;546;105;84%
Mikhail Vrubel;643;539;104;84%
Jan van Eyck;705;583;122;83%
Pieter de Hooch;682;565;117;83%
Johannes Vermeer;678;565;113;83%
Orest Kiprensky;677;562;115;83%
Thomas Gainsborough;676;563;113;83%
Henri Lebasque;643;531;112;83%
Vasily Vereshchagin;633;525;108;83%
Dante Gabriel Rossetti;633;523;110;83%
Kuzma Petrov-Vodkin;615;513;102;83%
Antoine Watteau;722;592;130;82%
Hans Holbein;711;584;127;82%
Pablo Picasso;705;581;124;82%
Giovanni di Paolo;695;573;122;82%
Alexandre Benois;682;559;123;82%
Peter Paul Rubens;676;553;123;82%
Vincent van Gogh;674;553;121;82%
Eugene Delacroix;656;537;119;82%
Victor Borisov-Musatov;656;535;121;82%
Andrew Wyeth;654;535;119;82%
Diego Velazquez;649;533;116;82%
Pavel Filonov;695;560;135;81%
Vasily Tropinin;680;553;127;81%
Paul Cezanne;675;550;125;81%
Correggio;656;534;122;81%
Boris Kustodiev;653;528;125;81%
Rogier van der Weyden;671;538;133;80%
Lucas van Leyden;666;533;133;80%
Titian;652;521;131;80%
Alexei Harlamov;668;528;140;79%
Edouard Manet;667;530;137;79%
Lucian Freud;652;518;134;79%
Aleksandr Deyneka;639;505;134;79%
Giorgione;631;494;137;78%
Albrecht Altdorfer;620;486;134;78%
Nicolas Poussin;712;547;165;77%
William Blake;687;531;156;77%
Nikolai Ge;686;527;159;77%
Lucas Cranach the Elder;683;528;155;77%
Piet Mondrian;682;524;158;77%
Karl Bryullov;663;513;150;77%
John Waterhouse;659;505;154;77%
John Constable;686;522;164;76%
Hans Memling;655;498;157;76%
Hans Baldung;680;513;167;75%
Gustave Courbet;690;512;178;74%
John Everett Millais;675;498;177;74%
Edward Burne-Jones;670;499;171;74%
Martin Schongauer;705;515;190;73%
William Holman Hunt;692;503;189;73%
William-Adolphe Bouguereau;673;488;185;73%
Theodore Gericault;655;478;177;73%
John Singer Sargent;650;470;180;72%
Arthur Hughes;669;478;191;71%
Robert Campin;698;491;207;70%
Alexander Ivanov;612;410;202;67%
Gustave Moreau;656;427;229;65%
