Albrecht Dürer;1232;1102;130;89%
Michelangelo;1270;1098;172;86%
Leonardo da Vinci;1258;1069;189;85%
Hieronymus Bosch;1237;996;241;81%
Pieter Bruegel;1224;972;252;79%
Titian;1231;898;333;73%
Giotto di Bondone;1149;842;307;73%
Sandro Botticelli;1197;837;360;70%
Raphael;1203;829;374;69%
Fra Angelico;1272;861;411;68%
Correggio;1195;795;400;67%
Jan van Eyck;1258;796;462;63%
Albrecht Altdorfer;1300;798;502;61%
Hans Holbein;1244;737;507;59%
Giorgione;1235;734;501;59%
Giovanni di Paolo;1193;702;491;59%
Lucas Cranach the Elder;1274;718;556;56%
Antonello da Messina;1238;698;540;56%
Rogier van der Weyden;1255;662;593;53%
Martin Schongauer;1205;628;577;52%
Hans Baldung;1228;622;606;51%
Lucas van Leyden;1150;578;572;50%
Robert Campin;1222;554;668;45%
Hans Memling;1218;533;685;44%
